Frame (60^-1s),Volume (cm^-3)
1155,728.7027
1156,719.0925
1157,726.8565
1158,732.308
1159,736.6702
1160,739.4113
1161,809.0862
1162,784.8817
1163,727.3686
1164,722.9064
1165,714.7407
1166,756.8996
1167,949.3734
1168,788.6196
1169,730.9612
1170,726.9192
1171,802.7057
1172,798.1874
1173,795.081
1174,768.46
1175,714.6731
1176,674.9452
1177,676.8344
1178,679.2983
1179,681.1765
1180,762.3197
1181,766.459
1182,747.9605
1183,716.532
1184,720.3593
1185,723.0461
1186,677.869
1187,679.5442
1188,677.7542
1189,676.581
1190,674.0315
1191,673.2287
1192,741.7954
1193,667.7405
1194,678.7712
1195,763.4864
1196,670.1437
1197,669.4526
1198,718.0344
1199,710.6641
1200,708.2504
1201,703.605
1202,702.8226
1203,699.4715
1204,694.4026
1205,686.6564
1206,674.0597
1207,751.5137
1208,746.0342
1209,739.2517
1210,734.7328
1211,714.1491
1212,689.4684
1213,686.4171
1214,1049.259
1215,1156.807
1216,826.0861
1217,719.2704
1218,713.7219
1219,734.043
1220,711.8398
1221,711.9677
1222,677.0899
1223,658.2845
1224,659.9917
1225,659.6768
1226,674.3475
1227,693.3798
1228,708.1306
1229,746.2536
1230,744.2476
1231,669.7422
1232,679.5885
1233,673.2947
1234,693.0165
1235,696.0799
1236,681.8582
1237,647.2192
1238,647.6144
1239,683.283
1240,699.2138
1241,690.5583
1242,844.0224
1243,671.1321
1244,647.548
1245,626.7223
1246,689.283
1247,690.509
1248,651.052
1249,629.2689
1250,627.6083
1251,624.4974
1252,703.6792
1253,639.1706
1254,635.0306
1255,650.9659
1256,663.5655
1257,661.7822
1258,664.0225
1259,642.4873
1260,657.5563
1261,1047.241
1262,649.9832
1263,657.5492
1264,661.062
1265,1037.731
1266,1018.158
1267,758.0595
1268,653.4244
1269,646.9756
1270,620.842
1271,599.5298
1272,593.3447
1273,591.6002
1274,591.8467
1275,589.2832
1276,585.6307
1277,600.3752
1278,1015.855
1279,734.9514
1280,927.591
1281,617.0857
1282,618.1165
1283,621.3298
1284,625.6218
1285,599.2744
1286,625.62
1287,649.4789
1288,575.7373
1289,577.3396
1290,557.9217
1291,596.0457
1292,595.6275
1293,597.5677
1294,599.4637
1295,602.314
1296,607.4482
1297,583.5536
1298,594.6628
1299,600.8527
1300,607.8613
1301,612.2546
1302,606.2149
1303,609.6873
1304,594.2264
1305,561.9678
1306,601.0557
1307,861.1656
1308,547.1883
1309,544.1718
1310,538.8169
1311,601.1794
1312,586.6947
1313,577.0999
1314,546.8607
1315,535.362
1316,530.8662
1317,548.1614
1318,531.5319
1319,535.8878
1320,523.9552
1321,528.6315
1322,599.2198
1323,574.8784
1324,1313.65
1325,568.4619
1326,547.4533
1327,518.3315
1328,507.4561
1329,500.8006
1330,485.7332
1331,757.3529
1332,481.7104
1333,488.2189
1334,508.509
1335,524.7557
1336,521.2221
1337,498.7197
1338,610.2331
1339,479.6081
1340,486.7711
1341,479.6227
1342,473.1458
1343,467.3899
1344,461.2808
1345,535.1513
1346,754.6202
1347,463.0376
1348,470.6296
1349,480.6204
1350,487.4995
1351,450.636
1352,449.8819
1353,713.988
1354,649.8735
1355,680.3179
1356,434.0837
1357,460.9241
1358,471.0825
1359,443.9832
1360,437.9189
1361,546.5913
1362,572.6989
1363,456.3185
1364,459.2536
1365,475.839
1366,487.3273
1367,712.5299
1368,413.7069
1369,418.3833
1370,410.9768
1371,392.9891
1372,399.7007
1373,415.6985
1374,394.0216
1375,376.8165
1376,381.8069
1377,393.4586
1378,396.7695
1379,414.5391
1380,403.4701
1381,472.2022
1382,481.0578
1383,475.1057
1384,376.1916
1385,376.6091
1386,377.3426
1387,374.0812
1388,385.6524
1389,379.6527
1390,370.3099
1391,348.8683
1392,341.066
1393,345.0529
1394,441.2019
1395,372.7758
1396,372.1651
1397,361.7717
1398,368.9381
1399,321.8027
1400,335.6121
1401,330.5279
1402,336.6133
1403,339.1069
1404,360.334
1405,354.0854
1406,506.5823
1407,307.4275
1408,546.2208
1409,309.3501
1410,454.658
1411,396.1869
1412,339.5569
1413,315.8324
1414,315.2912
1415,313.9256
1416,311.4297
1417,309.8129
1418,317.9735
1419,315.3108
1420,313.9023
1421,307.4788
1422,317.7428
1423,315.7663
1424,313.9999
1425,310.2297
1426,307.924
1427,306.7824
1428,306.3387
1429,306.3507
1430,305.2721
1431,313.1912
1432,323.0612
1433,382.93
1434,269.6333
1435,256.0781
1436,254.4472
1437,362.9312
1438,372.0668
1439,420.5461
1440,406.7291
1441,290.9801
1442,346.4416
1443,344.7099
1444,258.2596
1445,258.034
1446,258.3768
1447,249.8478
1448,258.6024
1449,256.9523
1450,244.3167
1451,244.8972
1452,236.4071
1453,235.6651
1454,241.9966
1455,241.8136
1456,251.8051
1457,251.8395
1458,252.6287
1459,251.6456
1460,251.0984
1461,248.5509
1462,238.0976
1463,237.5728
1464,226.5681
1465,235.2325
1466,234.4234
1467,233.0854
1468,232.7954
1469,364.9501
1470,231.3702
1471,230.4241
1472,228.4447
1473,225.8714
1474,224.3026
1475,222.6661
1476,193.2091
1477,230.0227
1478,220.1099
1479,218.9605
1480,214.6578
1481,189.4615
1482,209.8917
1483,217.517
1484,226.9549
1485,217.9432
1486,217.4335
1487,224.3594
1488,222.5263
1489,233.1739
1490,224.0241
1491,230.561
1492,228.6678
1493,218.6867
1494,217.9191
1495,216.2609
1496,215.1404
1497,221.2146
1498,212.4035
1499,190.8973
1500,190.2077
1501,189.5822
1502,188.78
1503,188.4859
1504,187.9047
1505,187.6708
1506,187.0839
1507,186.7708
1508,185.8115
1509,184.3938
1510,183.3346
1511,183.8596
1512,184.6965
1513,187.9133
1514,187.5725
1515,186.6759
1516,186.3848
1517,184.5256
1518,182.4508
1519,189.8626
1520,190.1582
1521,198.2841
1522,189.0483
1523,189.3987
1524,181.7678
1525,181.7678
1526,181.3322
1527,180.7506
1528,180.7506
1529,180.2467
1530,181.0838
1531,180.9739
1532,180.2449
1533,181.0452
1534,181.2599
1535,181.0963
1536,181.3671
1537,180.6025
1538,180.8632
1539,180.8632
1540,181.1431
1541,182.0165
1542,180.5932
1543,180.9232
1544,180.9232
1545,179.8363
1546,179.8323
1547,180.406
1548,180.4079
1549,178.8279
1550,179.879
1551,180.3373
1552,180.8585
1553,180.3759
1554,181.0293
1555,180.6511
1556,179.6085
1557,180.5427
1558,180.8581
1559,187.3413
1560,186.3947
1561,186.8144
1562,187.1994
1563,187.2629
1564,187.7721
